,state,lat,lng,population,location,county
0,California,34.3219,-118.2247,9936690,"(34.3219, -118.2247)",Los Angeles County
1,Illinois,41.8401,-87.8168,5225367,"(41.8401, -87.8168)",Cook County
2,Texas,29.8578,-95.3938,4726177,"(29.8578, -95.3938)",Harris County
3,Arizona,33.349,-112.4915,4430871,"(33.349, -112.4915)",Maricopa County
4,California,33.0343,-116.7351,3289701,"(33.0343, -116.7351)",San Diego County
5,California,33.7031,-117.7609,3175227,"(33.7031, -117.7609)",Orange County
6,Florida,25.615,-80.5624,2688237,"(25.615, -80.5624)",Miami-Dade County
7,New York,40.6413,-73.9383,2679620,"(40.6413, -73.9383)",Kings County
8,Texas,32.7666,-96.7778,2604053,"(32.7666, -96.7778)",Dallas County
9,California,33.7437,-115.9938,2429487,"(33.7437, -115.9938)",Riverside County
10,New York,40.7035,-73.8196,2360826,"(40.7035, -73.8196)",Queens County
11,Nevada,36.2152,-115.0135,2265926,"(36.2152, -115.0135)",Clark County
12,Washington,47.4902,-121.8052,2254371,"(47.4902, -121.8052)",King County
13,California,34.8414,-116.1785,2180563,"(34.8414, -116.1785)",San Bernardino County
14,Texas,32.7719,-97.2911,2113854,"(32.7719, -97.2911)",Tarrant County
15,Texas,29.4489,-98.52,2014059,"(29.4489, -98.52)",Bexar County
16,Florida,26.1523,-80.4871,1940907,"(26.1523, -80.4871)",Broward County
17,California,37.2318,-121.6951,1916831,"(37.2318, -121.6951)",Santa Clara County
18,Michigan,42.2822,-83.283,1781641,"(42.2822, -83.283)",Wayne County
19,California,37.6469,-121.8887,1663823,"(37.6469, -121.8887)",Alameda County
20,New York,40.7793,-73.9668,1645867,"(40.7793, -73.9668)",New York County
21,Massachusetts,42.4856,-71.3918,1623109,"(42.4856, -71.3918)",Middlesex County
22,Pennsylvania,40.0077,-75.1339,1593208,"(40.0077, -75.1339)",Philadelphia County
23,California,38.4493,-121.3443,1579211,"(38.4493, -121.3443)",Sacramento County
24,New York,40.8681,-72.8454,1524486,"(40.8681, -72.8454)",Suffolk County
25,Florida,26.6476,-80.4655,1494805,"(26.6476, -80.4655)",Palm Beach County
26,Florida,27.9292,-82.3088,1468560,"(27.9292, -82.3088)",Hillsborough County
27,New York,40.8501,-73.8671,1443229,"(40.8501, -73.8671)",Bronx
28,Florida,28.5144,-81.3235,1427403,"(28.5144, -81.3235)",Orange County
29,New York,40.7326,-73.5862,1389160,"(40.7326, -73.5862)",Nassau County
30,Ohio,39.9695,-83.0093,1318149,"(39.9695, -83.0093)",Franklin County
31,Texas,30.3344,-97.782,1289054,"(30.3344, -97.782)",Travis County
32,Michigan,42.6604,-83.3858,1272264,"(42.6604, -83.3858)",Oakland County
33,Minnesota,45.0046,-93.477,1270787,"(45.0046, -93.477)",Hennepin County
34,Ohio,41.4243,-81.6586,1256620,"(41.4243, -81.6586)",Cuyahoga County
35,Pennsylvania,40.4688,-79.9812,1245310,"(40.4688, -79.9812)",Allegheny County
36,Utah,40.6673,-111.9236,1180643,"(40.6673, -111.9236)",Salt Lake County
37,California,37.9192,-121.9275,1162648,"(37.9192, -121.9275)",Contra Costa County
38,Virginia,38.8368,-77.277,1145354,"(38.8368, -77.277)",Fairfax County
39,North Carolina,35.7903,-78.6503,1132103,"(35.7903, -78.6503)",Wake County
40,North Carolina,35.2467,-80.8328,1115403,"(35.2467, -80.8328)",Mecklenburg County
41,Texas,33.188,-96.5724,1079153,"(33.188, -96.5724)",Collin County
42,Georgia,33.7902,-84.467,1061944,"(33.7902, -84.467)",Cobb County
43,Maryland,39.1363,-77.2042,1056910,"(39.1363, -77.2042)",Montgomery County
44,Arizona,32.0974,-111.7899,1042393,"(32.0974, -111.7899)",Pima County
45,Hawaii,21.5009,-158.106,1010100,"(21.5009, -158.106)",Honolulu County
46,California,36.7582,-119.6493,1008280,"(36.7582, -119.6493)",Fresno County
47,Missouri,38.6407,-90.4434,999703,"(38.6407, -90.4434)",Saint Louis County
48,New York,41.1626,-73.7561,997904,"(41.1626, -73.7561)",Westchester County
49,Florida,30.3313,-81.6715,995708,"(30.3313, -81.6715)",Duval County
50,Connecticut,41.8185,-72.572,977165,"(41.8185, -72.572)",Hartford County
51,Indiana,39.7817,-86.1385,971737,"(39.7817, -86.1385)",Marion County
52,Florida,27.9198,-82.7255,959918,"(27.9198, -82.7255)",Pinellas County
53,Georgia,33.9617,-84.0236,957977,"(33.9617, -84.0236)",Gwinnett County
54,Maryland,38.8295,-76.8473,957189,"(38.8295, -76.8473)",Prince George's County
55,New Jersey,40.9597,-74.0742,953243,"(40.9597, -74.0742)",Bergen County
56,New York,42.7639,-78.7323,951232,"(42.7639, -78.7323)",Erie County
57,Wisconsin,43.0072,-87.9669,933063,"(43.0072, -87.9669)",Milwaukee County
58,Illinois,41.852,-88.0856,930559,"(41.852, -88.0856)",DuPage County
59,Tennessee,35.1842,-89.894,926440,"(35.1842, -89.894)",Shelby County
60,Washington,47.0239,-122.104,918993,"(47.0239, -122.104)",Pierce County
61,Texas,33.2055,-97.1168,914870,"(33.2055, -97.1168)",Denton County
62,California,35.3426,-118.7301,906883,"(35.3426, -118.7301)",Kern County
63,Michigan,42.6957,-82.9323,878453,"(42.6957, -82.9323)",Macomb County
64,Texas,26.3969,-98.1812,873167,"(26.3969, -98.1812)",Hidalgo County
65,Texas,31.7686,-106.2348,863832,"(31.7686, -106.2348)",El Paso County
66,New Jersey,40.4391,-74.4117,860147,"(40.4391, -74.4117)",Middlesex County
67,Massachusetts,42.3514,-71.9077,858898,"(42.3514, -71.9077)",Worcester County
68,Pennsylvania,40.2108,-75.3673,856399,"(40.2108, -75.3673)",Montgomery County
69,New Jersey,40.788,-74.2481,853374,"(40.788, -74.2481)",Essex County
70,California,37.7556,-122.445,851036,"(37.7556, -122.445)",San Francisco County
71,Maryland,39.4627,-76.6393,850737,"(39.4627, -76.6393)",Baltimore County
72,California,34.4561,-119.0836,842009,"(34.4561, -119.0836)",Ventura County
73,Texas,29.5275,-95.7709,832607,"(29.5275, -95.7709)",Fort Bend County
74,Washington,48.0474,-121.6972,828337,"(48.0474, -121.6972)",Snohomish County
75,Ohio,39.1955,-84.5428,827671,"(39.1955, -84.5428)",Hamilton County
76,Oregon,45.5468,-122.4149,808098,"(45.5468, -122.4149)",Multnomah County
77,Massachusetts,42.6732,-70.9524,806103,"(42.6732, -70.9524)",Essex County
78,Oklahoma,35.5515,-97.4072,795822,"(35.5515, -97.4072)",Oklahoma County
79,Massachusetts,42.3328,-71.0735,785443,"(42.3328, -71.0735)",Suffolk County
80,California,37.9348,-121.2714,779445,"(37.9348, -121.2714)",San Joaquin County
81,Kentucky,38.1872,-85.6591,779232,"(38.1872, -85.6591)",Jefferson County
82,Florida,26.578,-81.8332,772902,"(26.578, -81.8332)",Lee County
83,Georgia,33.9415,-84.5767,765813,"(33.9415, -84.5767)",Cobb County
84,Georgia,33.7716,-84.2264,761209,"(33.7716, -84.2264)",DeKalb County
85,New York,43.1464,-77.6961,756406,"(43.1464, -77.6961)",Monroe County
86,California,37.4228,-122.3291,754250,"(37.4228, -122.3291)",San Mateo County
87,Florida,27.9489,-81.6976,736229,"(27.9489, -81.6976)",Polk County
88,Colorado,38.8321,-104.5254,730323,"(38.8321, -104.5254)",El Paso County
89,Massachusetts,42.1603,-71.2118,722112,"(42.1603, -71.2118)",Norfolk County
90,Missouri,39.0085,-94.3461,715526,"(39.0085, -94.3461)",Jackson County
91,Illinois,42.3233,-88.0037,713159,"(42.3233, -88.0037)",Lake County
92,New Jersey,40.7408,-74.0751,712029,"(40.7408, -74.0751)",Hudson County
93,Colorado,39.762,-104.8758,710800,"(39.762, -104.8758)",Adams County
94,Tennessee,36.1695,-86.7848,709786,"(36.1695, -86.7848)",Davidson County
95,Illinois,41.445,-87.9786,696774,"(41.445, -87.9786)",Will County
96,New Mexico,35.0514,-106.6701,674692,"(35.0514, -106.6701)",Bernalillo County
97,Alabama,33.5543,-86.8964,672265,"(33.5543, -86.8964)",Jefferson County
98,District of Columbia,38.9047,-77.0163,670587,"(38.9047, -77.0163)",
99,Oklahoma,36.1211,-95.9415,668923,"(36.1211, -95.9415)",Tulsa County
100,Utah,40.1199,-111.6702,666021,"(40.1199, -111.6702)",Utah County
101,Rhode Island,41.8721,-71.58,657984,"(41.8721, -71.58)",Providence County
102,Michigan,43.0322,-85.5493,657321,"(43.0322, -85.5493)",Kent County
103,Colorado,39.6498,-104.3393,654453,"(39.6498, -104.3393)",Adams County
104,Pennsylvania,40.337,-75.1069,645163,"(40.337, -75.1069)",Bucks County
105,New Jersey,40.2601,-74.2216,643064,"(40.2601, -74.2216)",Monmouth County
106,New Jersey,39.8856,-74.2814,638691,"(39.8856, -74.2814)",Ocean County
107,Texas,30.3002,-95.503,629989,"(30.3002, -95.503)",Montgomery County
108,Connecticut,41.3225,-73.4475,620666,"(41.3225, -73.4475)",Fairfield County
109,Texas,30.6475,-97.6004,617396,"(30.6475, -97.6004)",Williamson County
110,Kansas,38.8838,-94.8223,610742,"(38.8838, -94.8223)",Johnson County
111,Florida,28.2937,-80.7323,610723,"(28.2937, -80.7323)",Brevard County
112,Oregon,45.56,-123.0984,599541,"(45.56, -123.0984)",Washington County
113,Maryland,39.0065,-76.6051,588109,"(39.0065, -76.6051)",Anne Arundel County
114,Maryland,39.3051,-76.6144,584548,"(39.3051, -76.6144)",City of Baltimore
115,Nebraska,41.2953,-96.1543,582638,"(41.2953, -96.1543)",Douglas County
116,Colorado,39.5864,-105.2505,580519,"(39.5864, -105.2505)",Jefferson County
117,Massachusetts,41.7972,-71.1144,576699,"(41.7972, -71.1144)",Bristol County
118,Pennsylvania,39.9167,-75.3991,575312,"(39.9167, -75.3991)",Delaware County
119,New Jersey,40.6601,-74.31,572079,"(40.6601, -74.31)",Union County
120,Connecticut,41.3613,-72.8445,571298,"(41.3613, -72.8445)",New Haven County
121,Delaware,39.5768,-75.6527,570567,"(39.5768, -75.6527)",New Castle County
122,Florida,28.3092,-82.392,569211,"(28.3092, -82.392)",Pasco County
123,Wisconsin,43.0673,-89.4181,559891,"(43.0673, -89.4181)",Dane County
124,Florida,29.0584,-81.1819,558520,"(29.0584, -81.1819)",Volusia County
125,Pennsylvania,40.0424,-76.2477,553202,"(40.0424, -76.2477)",Lancaster County
126,California,37.5591,-120.9977,552063,"(37.5591, -120.9977)",Stanislaus County
127,Minnesota,45.0171,-93.0996,547202,"(45.0171, -93.0996)",Ramsey County
128,North Carolina,36.0795,-79.7889,539557,"(36.0795, -79.7889)",Guilford County
129,Ohio,41.126,-81.5322,539361,"(41.126, -81.5322)",Summit County
130,Washington,47.6207,-117.404,538711,"(47.6207, -117.404)",Spokane County
131,Pennsylvania,39.9731,-75.7484,536474,"(39.9731, -75.7484)",Chester County
132,Ohio,39.7547,-84.2907,536121,"(39.7547, -84.2907)",Montgomery County
133,Massachusetts,41.9511,-70.8115,529548,"(41.9511, -70.8115)",Plymouth County
134,South Carolina,34.8941,-82.3706,528251,"(34.8941, -82.3706)",Greenville County
135,Kansas,37.6848,-97.461,522700,"(37.6848, -97.461)",Sedgwick County
136,New Jersey,39.8035,-74.9597,522581,"(39.8035, -74.9597)",Camden County
137,Colorado,39.8736,-104.3379,520149,"(39.8736, -104.3379)",Adams County
138,New Jersey,41.0343,-74.3009,519986,"(41.0343, -74.3009)",Passaic County
139,Illinois,41.9388,-88.4286,517254,"(41.9388, -88.4286)",Kane County
140,New Jersey,40.862,-74.5445,508816,"(40.862, -74.5445)",Morris County
141,Washington,45.7792,-122.4825,504091,"(45.7792, -122.4825)",Clark County
142,Indiana,41.4167,-87.3821,497682,"(41.4167, -87.3821)",Lake County
143,Idaho,43.4511,-116.2412,497494,"(43.4511, -116.2412)",Ada County
144,Iowa,41.6854,-93.5734,493378,"(41.6854, -93.5734)",Polk County
145,New York,40.5807,-74.1531,492925,"(40.5807, -74.1531)",Richmond County
146,California,38.529,-122.8882,488436,"(38.529, -122.8882)",Sonoma County
147,Nevada,40.6655,-119.6643,486674,"(40.6655, -119.6643)",Lassen County
148,Tennessee,35.9932,-83.9371,481406,"(35.9932, -83.9371)",Knox County
149,Virginia,38.7029,-77.4809,481114,"(38.7029, -77.4809)",City of Manassas
150,California,36.2202,-118.8005,473446,"(36.2202, -118.8005)",Tulare County
151,New York,43.0058,-76.1946,472637,"(43.0058, -76.1946)",Onondaga County
152,Florida,28.717,-81.2363,471321,"(28.717, -81.2363)",Seminole County
153,Massachusetts,42.1351,-72.6316,464575,"(42.1351, -72.6316)",Hampden County
154,New Jersey,39.8777,-74.6681,461853,"(39.8777, -74.6681)",Burlington County
155,Virginia,36.7335,-76.0435,457900,"(36.7335, -76.0435)",City of Virginia Beach
156,Pennsylvania,39.92,-76.7265,457051,"(39.92, -76.7265)",York County
157,Louisiana,30.5383,-91.0956,454369,"(30.5383, -91.0956)",East Baton Rouge Parish
158,Connecticut,41.5231,-73.086,451887,"(41.5231, -73.086)",New Haven County
159,California,38.27,-121.9328,450995,"(38.27, -121.9328)",Solano County
160,California,34.6729,-120.0169,445213,"(34.6729, -120.0169)",Santa Barbara County
161,Florida,27.1845,-82.3315,439392,"(27.1845, -82.3315)",Sarasota County
162,Minnesota,44.6719,-93.0654,439179,"(44.6719, -93.0654)",Dakota County
163,California,36.2171,-121.2388,437609,"(36.2171, -121.2388)",Monterey County
164,Louisiana,29.7882,-90.1276,436171,"(29.7882, -90.1276)",Jefferson Parish
165,Arizona,32.9044,-111.3448,433338,"(32.9044, -111.3448)",Pinal County
166,Ohio,41.6197,-83.6589,430014,"(41.6197, -83.6589)",Lucas County
167,Pennsylvania,40.4163,-75.926,428483,"(40.4163, -75.926)",Berks County
168,New Hampshire,42.9153,-71.7161,422733,"(42.9153, -71.7161)",Hillsborough County
169,Texas,26.1332,-97.5186,421854,"(26.1332, -97.5186)",Cameron County
170,Oregon,45.188,-122.2208,420925,"(45.188, -122.2208)",Clackamas County
171,Virginia,39.0907,-77.6357,420773,"(39.0907, -77.6357)",Loudoun County
172,South Carolina,34.0218,-80.9031,416161,"(34.0218, -80.9031)",Richland County
173,Alabama,30.7877,-88.2058,413878,"(30.7877, -88.2058)",Mobile County
174,South Carolina,32.8348,-79.953,409840,"(32.8348, -79.953)",Charleston County
175,Wisconsin,43.0182,-88.3045,407290,"(43.0182, -88.3045)",Waukesha County
176,California,39.0634,-120.7177,406608,"(39.0634, -120.7177)",Placer County
177,Missouri,38.782,-90.6749,406262,"(38.782, -90.6749)",Saint Charles County
178,Michigan,43.0217,-83.7067,405280,"(43.0217, -83.7067)",Genesee County
179,Florida,27.4719,-82.3153,405069,"(27.4719, -82.3153)",Sarasota County
180,New York,41.4022,-74.3056,401237,"(41.4022, -74.3056)",Orange County
181,Arkansas,34.77,-92.312,398322,"(34.77, -92.312)",Pulaski County
182,Florida,28.0626,-81.1495,393745,"(28.0626, -81.1495)",Osceola County
183,Alabama,34.7631,-86.5502,389781,"(34.7631, -86.5502)",Madison County
184,Ohio,39.4386,-84.5756,388327,"(39.4386, -84.5756)",Butler County
185,Florida,28.7615,-81.7113,386829,"(28.7615, -81.7113)",Lake County
186,Indiana,41.0909,-85.0666,385456,"(41.0909, -85.0666)",Allen County
187,North Carolina,36.1306,-80.2563,383739,"(36.1306, -80.2563)",Forsyth County
188,New Jersey,40.2834,-74.7018,383732,"(40.2834, -74.7018)",Mercer County
189,Oregon,43.9387,-122.848,382218,"(43.9387, -122.848)",Lane County
190,Louisiana,30.0687,-89.9289,380408,"(30.0687, -89.9289)",Saint Bernard Parish
191,Florida,26.1108,-81.3474,380221,"(26.1108, -81.3474)",Collier County
192,Florida,29.2102,-82.0567,378225,"(29.2102, -82.0567)",Marion County
193,Texas,29.1898,-95.4521,374600,"(29.1898, -95.4521)",Brazoria County
194,Ohio,40.8139,-81.3656,374199,"(40.8139, -81.3656)",Stark County
195,Pennsylvania,40.6127,-75.5923,374110,"(40.6127, -75.5923)",Lehigh County
196,Texas,31.0373,-97.4788,372821,"(31.0373, -97.4788)",Bell County
197,Michigan,42.2532,-83.8388,370231,"(42.2532, -83.8388)",Washtenaw County
198,Tennessee,35.1808,-85.1648,367193,"(35.1808, -85.1648)",Hamilton County
199,Virginia,37.3785,-77.587,366019,"(37.3785, -77.587)",Chesterfield County
200,Minnesota,45.2733,-93.2465,363985,"(45.2733, -93.2465)",Anoka County
201,Utah,40.99,-112.1115,363032,"(40.99, -112.1115)",Davis County
202,Colorado,39.3298,-104.9293,360206,"(39.3298, -104.9293)",Douglas County
203,Colorado,40.6664,-105.4611,359363,"(40.6664, -105.4611)",Larimer County
204,South Carolina,33.9214,-78.9967,356578,"(33.9214, -78.9967)",Horry County
205,Pennsylvania,40.3109,-79.4668,354414,"(40.3109, -79.4668)",Westmoreland County
206,Texas,27.7254,-97.6134,353245,"(27.7254, -97.6134)",Nueces County
207,Texas,29.3944,-94.9642,350801,"(29.3944, -94.9642)",Galveston County
208,Indiana,40.0725,-86.052,349527,"(40.0725, -86.052)",Hamilton County
209,Oregon,44.9033,-122.5847,345815,"(44.9033, -122.5847)",Linn County
210,New Jersey,40.5635,-74.6163,344978,"(40.5635, -74.6163)",Somerset County
211,Tennessee,35.8427,-86.4167,343727,"(35.8427, -86.4167)",Rutherford County
212,New York,41.1525,-74.0242,337326,"(41.1525, -74.0242)",Rockland County
213,North Carolina,35.0487,-78.8277,335207,"(35.0487, -78.8277)",Cumberland County
214,Florida,27.3773,-80.4721,334682,"(27.3773, -80.4721)",Saint Lucie County
215,Virginia,37.538,-77.4059,333120,"(37.538, -77.4059)",Henrico County
216,Maryland,39.2507,-76.9312,332011,"(39.2507, -76.9312)",Howard County
217,Colorado,40.5548,-104.3925,331466,"(40.5548, -104.3925)",Weld County
218,South Carolina,34.9309,-81.9908,330119,"(34.9309, -81.9908)",Spartanburg County
219,Colorado,40.0925,-105.3577,328658,"(40.0925, -105.3577)",Boulder County
220,Connecticut,41.2428,-73.2314,326381,"(41.2428, -73.2314)",Fairfield County
221,Pennsylvania,41.177,-75.9892,325396,"(41.177, -75.9892)",Luzerne County
222,North Carolina,36.036,-78.8766,325101,"(36.036, -78.8766)",Durham County
223,Nebraska,40.7842,-96.6878,322063,"(40.7842, -96.6878)",Lancaster County
224,Florida,30.669,-87.363,321296,"(30.669, -87.363)",Escambia County
225,Kentucky,38.0423,-84.4587,321276,"(38.0423, -84.4587)",Fayette County
226,New Hampshire,42.9875,-71.1254,315169,"(42.9875, -71.1254)",Rockingham County
227,New York,42.6002,-73.9736,315041,"(42.6002, -73.9736)",Albany County
228,Pennsylvania,40.7542,-75.3076,314299,"(40.7542, -75.3076)",Northampton County
229,Ohio,41.2956,-82.151,313101,"(41.2956, -82.151)",Lorain County
230,Texas,33.6102,-101.8205,311509,"(33.6102, -101.8205)",Lubbock County
231,Illinois,42.3244,-88.4523,311133,"(42.3244, -88.4523)",McHenry County
232,Maine,43.8466,-70.3996,303357,"(43.8466, -70.3996)",Cumberland County
233,New Jersey,39.7173,-75.1414,302621,"(39.7173, -75.1414)",Gloucester County
234,Missouri,37.2581,-93.342,299188,"(37.2581, -93.342)",Greene County
235,Missouri,38.6358,-90.2451,298018,"(38.6358, -90.2451)",City of Saint Louis
236,New York,41.7652,-73.7429,296467,"(41.7652, -73.7429)",Dutchess County
237,Georgia,33.542,-84.3576,296312,"(33.542, -84.3576)",Clayton County
238,Georgia,32.0043,-81.1329,296266,"(32.0043, -81.1329)",Chatham County
239,Michigan,42.9599,-85.996,296183,"(42.9599, -85.996)",Ottawa County
240,South Carolina,33.9023,-81.2722,295934,"(33.9023, -81.2722)",Lexington County
241,Oklahoma,35.2031,-97.3265,295060,"(35.2031, -97.3265)",Cleveland County
242,Washington,46.9256,-122.8333,294272,"(46.9256, -122.8333)",Thurston County
243,Florida,30.458,-84.2779,294128,"(30.458, -84.2779)",Leon County
244,Alaska,61.1498,-149.1082,290674,"(61.1498, -149.1082)",Anchorage Municipality
245,Arkansas,36.3387,-94.2561,286528,"(36.3387, -94.2561)",Benton County
246,Pennsylvania,40.4155,-76.7794,286108,"(40.4155, -76.7794)",Dauphin County
247,Illinois,42.3363,-89.1609,284591,"(42.3363, -89.1609)",Winnebago County
248,South Carolina,34.9748,-81.1845,282987,"(34.9748, -81.1845)",York County
249,Michigan,42.5971,-84.3735,282540,"(42.5971, -84.3735)",Ingham County
250,California,37.1919,-120.7177,282290,"(37.1919, -120.7177)",Merced County
251,California,35.3871,-120.4044,281712,"(35.3871, -120.4044)",San Luis Obispo County
252,Connecticut,41.5023,-72.1,280293,"(41.5023, -72.1)",New London County
253,Florida,29.6747,-82.3577,279729,"(29.6747, -82.3577)",Alachua County
254,Florida,29.9016,-81.4407,278722,"(29.9016, -81.4407)",Saint Johns County
255,Washington,47.6127,-122.6762,275411,"(47.6127, -122.6762)",Kitsap County
256,New Jersey,39.4778,-74.661,274339,"(39.4778, -74.661)",Atlantic County
257,Maryland,39.4722,-77.398,273829,"(39.4722, -77.398)",Frederick County
258,Indiana,41.6167,-86.2899,272388,"(41.6167, -86.2899)",Saint Joseph County
259,Pennsylvania,41.9925,-80.0327,270495,"(41.9925, -80.0327)",Erie County
260,North Carolina,35.6112,-82.5301,269449,"(35.6112, -82.5301)",Buncombe County
261,Minnesota,45.0388,-92.8838,268651,"(45.0388, -92.8838)",Washington County
262,California,37.0562,-122.0018,268571,"(37.0562, -122.0018)",Santa Cruz County
263,Georgia,34.244,-84.4762,268567,"(34.244, -84.4762)",Cherokee County
264,Wisconsin,44.4525,-88.0037,268393,"(44.4525, -88.0037)",Brown County
265,Texas,27.7611,-99.3315,267282,"(27.7611, -99.3315)",Webb County
266,Louisiana,30.4103,-89.9584,266168,"(30.4103, -89.9584)",Saint Tammany Parish
267,Illinois,38.8297,-89.9049,265512,"(38.8297, -89.9049)",Madison County
268,Utah,41.2698,-111.9134,262960,"(41.2698, -111.9134)",Weber County
269,Michigan,42.2455,-85.5312,261426,"(42.2455, -85.5312)",Kalamazoo County
270,Pennsylvania,40.1636,-77.2655,261269,"(40.1636, -77.2655)",Cumberland County
271,Texas,31.5524,-97.2018,261090,"(31.5524, -97.2018)",McLennan County
272,Maryland,39.5611,-76.3171,261059,"(39.5611, -76.3171)",Harford County
273,California,38.0734,-122.7234,260485,"(38.0734, -122.7234)",Marin County
274,Illinois,38.4703,-89.9284,256791,"(38.4703, -89.9284)",Saint Clair County
275,Washington,46.4571,-120.7385,256143,"(46.4571, -120.7385)",Yakima County
276,Texas,29.8841,-94.1629,254942,"(29.8841, -94.1629)",Jefferson County
277,Georgia,34.2255,-84.1251,253225,"(34.2255, -84.1251)",Forsyth County
278,Missouri,39.3105,-94.4209,253085,"(39.3105, -94.4209)",Clay County
279,Virginia,36.6778,-76.3023,249377,"(36.6778, -76.3023)",City of Chesapeake
280,Tennessee,35.8938,-86.8986,248897,"(35.8938, -86.8986)",Williamson County
281,Arkansas,35.9791,-94.2156,247331,"(35.9791, -94.2156)",Washington County
282,Texas,30.0579,-98.0312,245351,"(30.0579, -98.0312)",Hays County
283,Ohio,39.4277,-84.1668,243189,"(39.4277, -84.1668)",Warren County
284,Louisiana,30.2068,-92.0639,243175,"(30.2068, -92.0639)",Lafayette Parish
285,Georgia,33.453,-84.1542,240853,"(33.453, -84.1542)",Henry County
286,Delaware,38.6606,-75.39,240668,"(38.6606, -75.39)",Sussex County
287,North Carolina,34.9884,-80.5307,240109,"(34.9884, -80.5307)",Union County
288,Arizona,34.5998,-112.5537,237830,"(34.5998, -112.5537)",Yavapai County
289,Virginia,36.8947,-76.257,236973,"(36.8947, -76.257)",City of Norfolk
290,New York,43.1074,-73.8639,236328,"(43.1074, -73.8639)",Saratoga County
291,Louisiana,32.5806,-93.8823,236259,"(32.5806, -93.8823)",Caddo Parish
292,Virginia,38.8786,-77.1011,235845,"(38.8786, -77.1011)",Arlington County
293,Idaho,43.6251,-116.7093,235006,"(43.6251, -116.7093)",Canyon County
294,Texas,32.375,-95.2692,234667,"(32.375, -95.2692)",Smith County
295,Texas,30.6608,-96.3024,234548,"(30.6608, -96.3024)",Brazos County
296,Alabama,30.7277,-87.7226,233420,"(30.7277, -87.7226)",Baldwin County
297,Ohio,41.6963,-81.2373,232236,"(41.6963, -81.2373)",Lake County
298,Alabama,33.2896,-87.5251,231558,"(33.2896, -87.5251)",Tuscaloosa County
299,South Carolina,33.1973,-79.9522,231419,"(33.1973, -79.9522)",Berkeley County
300,New York,43.2418,-75.4358,231055,"(43.2418, -75.4358)",Oneida County
301,Massachusetts,41.7244,-70.2903,229436,"(41.7244, -70.2903)",Barnstable County
302,Iowa,42.079,-91.599,229308,"(42.079, -91.599)",Linn County
303,North Carolina,35.2944,-81.1803,228972,"(35.2944, -81.1803)",Gaston County
304,North Carolina,34.2329,-77.8848,228134,"(34.2329, -77.8848)",New Hanover County
305,Alabama,32.2203,-86.2076,228132,"(32.2203, -86.2076)",Montgomery County
306,Ohio,41.0146,-80.7763,227979,"(41.0146, -80.7763)",Mahoning County
307,Virginia,37.5294,-77.4756,227171,"(37.5294, -77.4756)",City of Richmond
308,Missouri,38.261,-90.5377,226984,"(38.261, -90.5377)",Jefferson County
309,Mississippi,32.2667,-90.4429,226541,"(32.2667, -90.4429)",Hinds County
310,Washington,48.8259,-121.7199,226523,"(48.8259, -121.7199)",
311,North Carolina,35.3868,-80.5519,226396,"(35.3868, -80.5519)",Cabarrus County
312,Alabama,33.2643,-86.6607,223916,"(33.2643, -86.6607)",Shelby County
313,Oregon,42.4322,-122.7285,222604,"(42.4322, -122.7285)",Jackson County
314,Tennessee,36.4969,-87.3828,222305,"(36.4969, -87.3828)",Montgomery County
315,New Mexico,32.3526,-106.8328,219870,"(32.3526, -106.8328)",Dona Ana County
316,Florida,29.9831,-81.8579,219650,"(29.9831, -81.8579)",Clay County
317,North Carolina,35.5178,-78.3657,219042,"(35.5178, -78.3657)",Johnston County
318,California,38.6866,-121.9011,217141,"(38.6866, -121.9011)",Yolo County
319,Ohio,40.2784,-83.0049,216074,"(40.2784, -83.0049)",Delaware County
320,Pennsylvania,41.4367,-75.6092,215672,"(41.4367, -75.6092)",Lackawanna County
321,Arizona,35.7041,-113.7579,214229,"(35.7041, -113.7579)",Mohave County
322,California,39.6669,-121.6007,213605,"(39.6669, -121.6007)",Butte County
323,Maine,43.4782,-70.7144,212691,"(43.4782, -70.7144)",York County
324,New York,43.2001,-78.7452,212230,"(43.2001, -78.7452)",Niagara County
325,Florida,30.6913,-86.5917,212021,"(30.6913, -86.5917)",Okaloosa County
326,Louisiana,30.2293,-93.3581,210770,"(30.2293, -93.3581)",Calcasieu Parish
327,Pennsylvania,40.1894,-80.2483,209631,"(40.1894, -80.2483)",Washington County
328,Ohio,39.0476,-84.1517,208851,"(39.0476, -84.1517)",Clermont County
329,Mississippi,30.5122,-89.116,208748,"(30.5122, -89.116)",Harrison County
330,Washington,46.2398,-119.5112,207560,"(46.2398, -119.5112)",Benton County
331,Indiana,41.5974,-85.8587,206841,"(41.5974, -85.8587)",Elkhart County
332,Illinois,40.1401,-88.1992,206525,"(40.1401, -88.1992)",Champaign County
333,Georgia,33.3596,-82.0736,206153,"(33.3596, -82.0736)",Richmond County
334,Georgia,34.3169,-83.8197,204953,"(34.3169, -83.8197)",Hall County
335,South Carolina,34.5193,-82.6378,204592,"(34.5193, -82.6378)",Anderson County
336,Georgia,32.51,-84.8771,204572,"(32.51, -84.8771)",Muscogee County
337,Arizona,32.7695,-113.9056,204374,"(32.7695, -113.9056)",Yuma County
338,North Carolina,34.7322,-77.4322,203686,"(34.7322, -77.4322)",Onslow County
339,Hawaii,19.5984,-155.5183,202163,"(19.5984, -155.5183)",Hawaii County
340,Ohio,41.317,-80.7613,201749,"(41.317, -80.7613)",Trumbull County
