,state,lat,lng,population,location,county
1944,North Carolina,36.4178,-77.3969,17528,"(36.4178, -77.3969)",Northampton County
1945,Iowa,42.4712,-91.3673,17523,"(42.4712, -91.3673)",Delaware County
1946,Arkansas,36.1612,-91.4798,17422,"(36.1612, -91.4798)",Sharp County
1947,Tennessee,35.4218,-88.6134,17392,"(35.4218, -88.6134)",Chester County
1948,Colorado,39.2171,-106.9166,17325,"(39.2171, -106.9166)",Pitkin County
1949,Montana,45.4884,-110.5267,17320,"(45.4884, -110.5267)",Park County
1950,Arkansas,33.5894,-91.72,17309,"(33.5894, -91.72)",Drew County
1951,Alabama,31.5147,-85.2414,17282,"(31.5147, -85.2414)",Henry County
1952,Nevada,41.4068,-118.112,17266,"(41.4068, -118.112)",Humboldt County
1953,Wisconsin,43.3756,-90.4295,17256,"(43.3756, -90.4295)",Richland County
1954,Georgia,31.154,-83.4305,17242,"(31.154, -83.4305)",Cook County
1955,West Virginia,39.5604,-78.2578,17237,"(39.5604, -78.2578)",Morgan County
1956,Kentucky,37.6396,-84.5377,17175,"(37.6396, -84.5377)",Garrard County
1957,Georgia,31.7598,-83.2205,17169,"(31.7598, -83.2205)",Ben Hill County
1958,Arkansas,35.5124,-93.8906,17160,"(35.5124, -93.8906)",Franklin County
1959,Missouri,37.6804,-93.0237,17158,"(37.6804, -93.0237)",Dallas County
1960,California,37.5815,-119.9054,17130,"(37.5815, -119.9054)",Mariposa County
1961,Iowa,42.8447,-91.3414,17123,"(42.8447, -91.3414)",Clayton County
1962,Virginia,38.7709,-77.4429,17123,"(38.7709, -77.4429)",Prince William County
1963,Illinois,37.4713,-89.2551,17122,"(37.4713, -89.2551)",Union County
1964,Kentucky,38.5952,-83.8242,17068,"(38.5952, -83.8242)",Brown County
1965,Virginia,36.618,-82.1605,17036,"(36.618, -82.1605)",Sullivan County
1966,Arkansas,34.2892,-91.3742,17024,"(34.2892, -91.3742)",Arkansas County
1967,Mississippi,33.9208,-88.9479,17024,"(33.9208, -88.9479)",Chickasaw County
1968,Colorado,38.6667,-107.0316,17018,"(38.6667, -107.0316)",Gunnison County
1969,Iowa,42.0798,-92.5326,17017,"(42.0798, -92.5326)",Tama County
1970,Texas,31.2533,-96.9359,17013,"(31.2533, -96.9359)",Falls County
1971,Maine,45.8373,-69.2846,16936,"(45.8373, -69.2846)",Piscataquis County
1972,West Virginia,38.9959,-80.5022,16920,"(38.9959, -80.5022)",Lewis County
1973,Georgia,34.8818,-83.402,16915,"(34.8818, -83.402)",Rabun County
1974,Texas,31.027,-96.5129,16912,"(31.027, -96.5129)",Robertson County
