,#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT,location,county,state,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1,2019-01-06,-120.0,35.0,1,"(35.0, -120.0)",Santa Barbara County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
3,2019-01-06,-123.4,47.3,1,"(47.3, -123.4)",Grays Harbor County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
5,2019-01-06,-123.4,47.3,1,"(47.3, -123.4)",Grays Harbor County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
6,2019-01-06,-118.2,46.0,1,"(46.0, -118.2)",Walla Walla County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
8,2019-01-06,-118.2,46.0,1,"(46.0, -118.2)",Walla Walla County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
9,2019-01-06,-123.2,47.0,2,"(47.0, -123.2)",Grays Harbor County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
11,2019-01-06,-123.2,47.0,2,"(47.0, -123.2)",Grays Harbor County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
12,2019-01-06,-123.1,47.0,1,"(47.0, -123.1)",Grays Harbor County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
14,2019-01-06,-123.1,47.0,1,"(47.0, -123.1)",Grays Harbor County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
55,2019-01-06,-119.9,34.9,1,"(34.9, -119.9)",Santa Barbara County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
58,2019-01-06,-118.8,36.3,1,"(36.3, -118.8)",Tulare County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
61,2019-01-06,-118.7,36.4,1,"(36.4, -118.7)",Tulare County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
64,2019-01-06,-121.7,39.7,5,"(39.7, -121.7)",Butte County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
67,2019-01-06,-123.8,40.7,1,"(40.7, -123.8)",Humboldt County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
72,2019-01-06,-118.1,45.9,1,"(45.9, -118.1)",Walla Walla County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
74,2019-01-06,-118.1,45.9,1,"(45.9, -118.1)",Walla Walla County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
75,2019-01-06,-123.5,46.8,1,"(46.8, -123.5)",Grays Harbor County,Washington,January,2019-01-06,03:00:00,2019-01-09,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
77,2019-01-06,-123.5,46.8,1,"(46.8, -123.5)",Grays Harbor County,Washington,January,2019-01-06,01:00:00,2019-01-06,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
79,2019-01-06,-124.0,41.0,1,"(41.0, -124.0)",Humboldt County,California,January,2019-01-06,17:56:00,2019-01-06,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
113,2019-01-13,-82.2,35.3,1,"(35.3, -82.2)",Polk County,North Carolina,January,2019-01-13,05:30:00,2019-01-15,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown
115,2019-01-13,-81.7,35.6,1,"(35.6, -81.7)",Burke County,North Carolina,January,2019-01-13,05:30:00,2019-01-15,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown
117,2019-01-13,-82.2,35.5,1,"(35.5, -82.2)",Rutherford County,North Carolina,January,2019-01-13,05:30:00,2019-01-15,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown
118,2019-01-16,-119.1,37.0,1,"(37.0, -119.1)",Fresno County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
119,2019-01-16,-124.2,40.7,1,"(40.7, -124.2)",Humboldt County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
122,2019-01-16,-117.8,34.4,1,"(34.4, -117.8)",San Bernardino County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
123,2019-01-16,-117.7,34.4,2,"(34.4, -117.7)",San Bernardino County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
124,2019-01-16,-117.6,34.4,1,"(34.4, -117.6)",San Bernardino County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
127,2019-01-16,-121.8,36.6,1,"(36.6, -121.8)",Monterey County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
128,2019-01-16,-118.7,36.6,1,"(36.6, -118.7)",Tulare County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
129,2019-01-16,-122.1,37.1,1,"(37.1, -122.1)",Santa Cruz County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
130,2019-01-16,-121.8,37.2,1,"(37.2, -121.8)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
131,2019-01-16,-122.0,37.3,1,"(37.3, -122.0)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
132,2019-01-16,-121.8,37.3,3,"(37.3, -121.8)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
133,2019-01-16,-122.0,37.4,5,"(37.4, -122.0)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
134,2019-01-16,-122.1,37.4,1,"(37.4, -122.1)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
135,2019-01-16,-121.8,37.4,1,"(37.4, -121.8)",Santa Clara County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
136,2019-01-16,-122.0,37.5,2,"(37.5, -122.0)",Alameda County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
137,2019-01-16,-122.0,37.6,2,"(37.6, -122.0)",Alameda County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
138,2019-01-16,-121.9,37.6,1,"(37.6, -121.9)",Alameda County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
139,2019-01-16,-121.7,37.8,2,"(37.8, -121.7)",Contra Costa County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
140,2019-01-16,-122.2,37.9,2,"(37.9, -122.2)",Contra Costa County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
141,2019-01-16,-122.1,37.9,1,"(37.9, -122.1)",Contra Costa County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
142,2019-01-16,-121.9,37.9,1,"(37.9, -121.9)",Contra Costa County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
144,2019-01-16,-121.7,39.6,1,"(39.6, -121.7)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
145,2019-01-16,-121.8,39.7,1,"(39.7, -121.8)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
146,2019-01-16,-121.7,39.7,1,"(39.7, -121.7)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
147,2019-01-16,-121.7,39.9,1,"(39.9, -121.7)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
148,2019-01-16,-124.4,40.4,1,"(40.4, -124.4)",Humboldt County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
149,2019-01-16,-124.3,40.4,2,"(40.4, -124.3)",Humboldt County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
150,2019-01-16,-124.3,40.6,1,"(40.6, -124.3)",Humboldt County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
151,2019-01-16,-121.6,40.0,3,"(40.0, -121.6)",Butte County,California,January,2019-01-16,17:26:00,2019-01-17,12:19:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,190,126700
154,2019-02-05,-120.0,35.0,1,"(35.0, -120.0)",Santa Barbara County,California,February,2019-02-05,18:17:00,2019-02-05,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200
156,2019-02-05,-117.8,34.4,1,"(34.4, -117.8)",San Bernardino County,California,February,2019-02-05,18:17:00,2019-02-05,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200
157,2019-02-05,-117.6,34.4,1,"(34.4, -117.6)",San Bernardino County,California,February,2019-02-05,18:17:00,2019-02-05,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200
158,2019-02-05,-120.0,34.8,1,"(34.8, -120.0)",Santa Barbara County,California,February,2019-02-05,18:17:00,2019-02-05,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200
159,2019-02-05,-120.0,34.9,1,"(34.9, -120.0)",Santa Barbara County,California,February,2019-02-05,18:17:00,2019-02-05,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200
160,2019-02-05,-119.9,34.9,1,"(34.9, -119.9)",Santa Barbara County,California,February,2019-02-05,18:17:00,2019-02-05,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200
161,2019-02-05,-118.3,35.4,1,"(35.4, -118.3)",Kern County,California,February,2019-02-05,18:17:00,2019-02-05,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200
162,2019-02-05,-118.7,36.6,1,"(36.6, -118.7)",Tulare County,California,February,2019-02-05,18:17:00,2019-02-05,20:26:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Severe Weather,42,33200
492,2019-02-07,-82.7,41.9,1,"(41.9, -82.7)",,Ontario,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
493,2019-02-07,-82.7,41.9,1,"(41.9, -82.7)",,Ontario,February,2019-02-07,08:55:00,2019-02-09,16:30:00,Michigan,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,233000
500,2019-02-07,-92.6,34.0,1,"(34.0, -92.6)",Dallas County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
502,2019-02-07,-92.1,34.0,1,"(34.0, -92.1)",Cleveland County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
590,2019-02-07,-92.7,34.1,1,"(34.1, -92.7)",Hot Spring County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
592,2019-02-07,-92.6,34.1,1,"(34.1, -92.6)",Grant County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
596,2019-02-07,-94.4,34.6,1,"(34.6, -94.4)",Polk County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
598,2019-02-07,-92.4,34.6,1,"(34.6, -92.4)",Saline County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
600,2019-02-07,-90.7,34.6,2,"(34.6, -90.7)",Phillips County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
616,2019-02-07,-93.6,34.8,1,"(34.8, -93.6)",Montgomery County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
626,2019-02-07,-92.1,35.2,1,"(35.2, -92.1)",Faulkner County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
652,2019-02-07,-92.9,35.4,1,"(35.4, -92.9)",Pope County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
654,2019-02-07,-92.8,35.4,1,"(35.4, -92.8)",Pope County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
658,2019-02-07,-93.0,35.5,1,"(35.5, -93.0)",Pope County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
672,2019-02-07,-92.6,35.5,1,"(35.5, -92.6)",Van Buren County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
674,2019-02-07,-92.5,35.5,1,"(35.5, -92.5)",Van Buren County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
688,2019-02-07,-92.9,35.6,1,"(35.6, -92.9)",Pope County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
690,2019-02-07,-92.8,35.6,1,"(35.6, -92.8)",Van Buren County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
692,2019-02-07,-92.5,35.6,1,"(35.6, -92.5)",Van Buren County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
694,2019-02-07,-92.4,35.6,1,"(35.6, -92.4)",Van Buren County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
696,2019-02-07,-92.3,35.6,1,"(35.6, -92.3)",Van Buren County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
698,2019-02-07,-92.2,35.6,1,"(35.6, -92.2)",Van Buren County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
700,2019-02-07,-92.1,35.6,1,"(35.6, -92.1)",Cleburne County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
720,2019-02-07,-93.9,35.8,1,"(35.8, -93.9)",Washington County,Arkansas,February,2019-02-07,07:39:00,2019-02-07,07:40:00,Arkansas,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,3,3370
737,2019-02-08,-121.6,47.9,2,"(47.9, -121.6)",Snohomish County,Washington,February,2019-02-08,18:30:00,2019-02-08,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940
746,2019-02-08,127.4,37.1,3,"(37.1, 127.4)",,Gyeonggi-do,February,2019-02-08,18:30:00,2019-02-08,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940
747,2019-02-08,127.2,37.2,19,"(37.2, 127.2)",,Gyeonggi-do,February,2019-02-08,18:30:00,2019-02-08,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940
748,2019-02-08,127.3,37.2,4,"(37.2, 127.3)",,Gyeonggi-do,February,2019-02-08,18:30:00,2019-02-08,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940
749,2019-02-08,127.4,37.2,11,"(37.2, 127.4)",,Gyeonggi-do,February,2019-02-08,18:30:00,2019-02-08,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940
750,2019-02-08,127.2,37.3,51,"(37.3, 127.2)",,Gyeonggi-do,February,2019-02-08,18:30:00,2019-02-08,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940
751,2019-02-08,127.4,37.3,6,"(37.3, 127.4)",,Gyeonggi-do,February,2019-02-08,18:30:00,2019-02-08,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940
768,2019-02-08,-121.7,47.9,1,"(47.9, -121.7)",Snohomish County,Washington,February,2019-02-08,18:30:00,2019-02-08,Unknown,Washington,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,50940
770,2019-02-13,-118.9,36.7,1,"(36.7, -118.9)",Tulare County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
771,2019-02-13,-119.2,37.1,1,"(37.1, -119.2)",Fresno County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
772,2019-02-13,-121.8,37.2,1,"(37.2, -121.8)",Santa Clara County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
773,2019-02-13,-121.9,37.3,1,"(37.3, -121.9)",Santa Clara County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
774,2019-02-13,-121.8,37.3,11,"(37.3, -121.8)",Santa Clara County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
775,2019-02-13,-121.7,37.3,4,"(37.3, -121.7)",Santa Clara County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
776,2019-02-13,-122.0,37.4,3,"(37.4, -122.0)",Santa Clara County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
777,2019-02-13,-121.9,37.4,1,"(37.4, -121.9)",Santa Clara County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
778,2019-02-13,-121.8,37.4,1,"(37.4, -121.8)",Santa Clara County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
779,2019-02-13,-121.6,37.7,3,"(37.7, -121.6)",San Joaquin County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
780,2019-02-13,-121.8,37.8,1,"(37.8, -121.8)",Contra Costa County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
781,2019-02-13,-121.7,37.8,3,"(37.8, -121.7)",Contra Costa County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
782,2019-02-13,-121.9,37.9,1,"(37.9, -121.9)",Contra Costa County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
783,2019-02-13,-121.9,38.2,1,"(38.2, -121.9)",Solano County,California,February,2019-02-13,02:48:00,2019-02-15,00:28:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,182,121000
